"an","aff_str","ror_ids","match_status","Unnamed: 4","ror_names"
"7192581","Departamento de Matemática, Facultad de Ingeniería, Universidad de Atacama, Copiapo, Chile","022yres73","TP","","University of Atacama"
"7192581","Statistics Department, University of California, Riverside, CA, USA","00pjdza24","TP","","University of California System"
"7192582","Department of Mathematics and Statistics, McMaster University, Hamilton, Canada","02fa3aq29","TP","","McMaster University"
"7192582","College of Systems Engineering, National University of Defence Technology, Changsha, People’s Republic of China","05d2yfz11","TP","","National University of Defense Technology"
"7192583","Department of Statistics, Quaid-i-Azam University, Islamabad, Pakistan","04s9hft57","TP","","Quaid-i-Azam University"
"7192583","School of Mathematical Sciences, Universiti Sains Malaysia, Penang, Malaysia","02rgb2k63","TP","","Universiti Sains Malaysia"
"7192584","Institute of Statistics and Big Data, Renmin University of China, Beijing, People's Republic of China","041pakw92","TP","","Renmin University of China"
"7192584","Center for Applied Statistics, School of Statistics, Renmin University of China, Beijing, People's Republic of China","041pakw92","TP","","Renmin University of China"
"7192585","School of Studies in Statistics, Vikram University, Ujjain, India","002k8gm39","TP","","Vikram University"
"7192585","Department of Statistics, University of Jammu, Jammu, India","02retg991","TP","","University of Jammu"
"7192585","Department of Statistics, Bidhan Nagar College, Kolkata, India","04jpmwt24","FP_wrong","","Bidhan Chandra Krishi Viswavidyalaya"
"7192586","Department of Mathematics and Statistics, University of Calgary, Calgary, Canada","03yjb2x39","TP","","University of Calgary"
"7192587","CAEd – Centro de Políticas Públicas e Avaliação da Educação, Universidade Federal de Juiz de Fora, Juiz de Fora, Brazil","04yqw9c44","TP","","Universidade Federal de Juiz de Fora"
"7192587","Universidade Federal de Minas Gerais, Belo Horizonte, Juiz de Fora, Brazil","0176yjw32","TP","","Universidade Federal de Minas Gerais"
"7192588","Department of Statistics, University of California, Irvine, CA, USA","00pjdza24","TP","","University of California System"
"7192588","Department of Computing and Mathematical Sciences, California Institute of Technology, Pasadena, CA, USA","05dxps055","TP","","California Institute of Technology"
"7192589","Department of Statistics, Quaid-i-Azam University, Islamabad, Pakistan","04s9hft57","TP","","Quaid-i-Azam University"
"7192590","Department of Statistics, St. Anthony's College, Shillong, Meghalaya, India","00z58xw11","FP_wrong","","St. John's College, Palayamkottai"
"7192590","Department of Statistics, Universidade Estadual de Maringá, Maringá, Brazil","04bqqa360","TP","","Universidade Estadual de Maringá"
